time,value
1613214900.0,16.7
1613215800.0,16.7
1613216700.0,16.8
1613217600.0,16.7
1613218500.0,17.0
1613219400.0,16.9
1613220300.0,16.9
1613221200.0,16.8
1613222100.0,16.6
1613223000.0,16.6
1613223900.0,16.9
1613224800.0,16.9
1613225700.0,17.0
1613226600.0,17.4
1613227500.0,17.5
1613228400.0,17.4
1613229300.0,17.6
1613230200.0,17.4
1613231100.0,17.8
1613232000.0,17.3
1613232900.0,17.3
1613233800.0,17.4
1613234700.0,17.4
1613235600.0,17.1
1613236500.0,17.6
1613237400.0,17.2
1613238300.0,17.3
1613239200.0,17.3
1613240100.0,17.0
1613241000.0,16.8
1613241900.0,16.8
1613242800.0,17.2
1613243700.0,17.1
1613244600.0,16.9
1613245500.0,17.0
1613246400.0,16.9
1613247300.0,17.1
1613248200.0,17.3
1613249100.0,17.5
1613250000.0,17.7
1613250900.0,18.0
1613251800.0,17.9
1613252700.0,17.9
1613253600.0,17.7
1613254500.0,17.8
1613255400.0,17.7
1613256300.0,18.2
1613257200.0,18.2
1613258100.0,17.2
1613259000.0,17.5
1613259900.0,17.7
1613260800.0,17.8
1613261700.0,18.1
1613262600.0,18.2
1613263500.0,18.3
1613264400.0,18.3
1613265300.0,18.5
1613266200.0,18.5
1613267100.0,18.6
1613268000.0,18.5
1613268900.0,18.5
1613269800.0,18.6
1613270700.0,18.5
1613271600.0,18.5
1613272500.0,18.5
1613273400.0,18.6
1613274300.0,18.6
1613275200.0,18.6
1613276100.0,18.5
1613277000.0,18.5
1613277900.0,18.4
1613278800.0,18.7
1613279700.0,19.4
1613280600.0,19.3
1613281500.0,19.5
1613282400.0,19.5
1613283300.0,19.4
1613284200.0,19.3
1613285100.0,19.2
1613286000.0,19.1
1613286900.0,18.6
1613287800.0,18.4
1613288700.0,18.2
1613289600.0,18.0
1613290500.0,17.9
1613291400.0,17.7
1613292300.0,17.5
1613293200.0,17.5
1613294100.0,17.4
1613295000.0,17.5
1613295900.0,17.4
1613296800.0,17.6
1613297700.0,17.7
1613298600.0,17.8
1613299500.0,17.9
1613300400.0,17.8
1613301300.0,18.0
1613302200.0,18.1
1613303100.0,18.0
1613304000.0,17.9
1613304900.0,17.9
1613305800.0,17.7
1613306700.0,17.8
1613307600.0,17.7
1613308500.0,18.0
1613309400.0,18.1
1613310300.0,18.2
1613311200.0,18.1
1613312100.0,18.1
1613313000.0,18.2
1613313900.0,18.3
1613314800.0,18.3
1613315700.0,18.4
1613316600.0,18.3
1613317500.0,18.3
1613318400.0,18.2
1613319300.0,18.5
1613320200.0,18.5
1613321100.0,18.1
1613322000.0,18.2
1613322900.0,18.2
1613323800.0,18.2
1613324700.0,18.0
1613325600.0,17.8
1613326500.0,17.6
1613327400.0,17.6
1613328300.0,17.5
1613329200.0,17.3
1613330100.0,17.3
1613331000.0,17.3
1613331900.0,17.2
1613332800.0,17.2
1613333700.0,17.1
1613334600.0,17.5
1613335500.0,17.6
1613336400.0,17.6
1613337300.0,18.1
1613338200.0,18.0
1613339100.0,18.3
1613340000.0,18.1
1613340900.0,17.7
1613341800.0,17.4
1613342700.0,18.1
1613343600.0,18.3
1613344500.0,17.6
1613345400.0,17.9
1613346300.0,17.9
1613347200.0,17.8
1613348100.0,18.1
1613349000.0,18.3
1613349900.0,18.5
1613350800.0,18.4
1613351700.0,18.5
1613352600.0,18.6
1613353500.0,18.6
1613354400.0,18.5
1613355300.0,18.5
1613356200.0,18.6
1613357100.0,18.6
1613358000.0,18.6
